partner,group,value
Nord,estimation par tonnage x prix par tonneau F12/1787,4320740.352874218
Nord,estimation par tonnage x prix par tonneau F12/1787 (sans lest),5373383.747997637
Nord,vraie valeur dans toflit18 (pondéré avec terre-mer),910801.09657222
Angleterre,estimation par tonnage x prix par tonneau F12/1787,4150711.0708861053
Angleterre,estimation par tonnage x prix par tonneau F12/1787 (sans lest),7564598.790742205
Angleterre,vraie valeur dans toflit18 (pondéré avec terre-mer),4881321.9543871945
Espagne,estimation par tonnage x prix par tonneau F12/1787,165161.22989383206
Espagne,estimation par tonnage x prix par tonneau F12/1787 (sans lest),194510.09483620652
Espagne,vraie valeur dans toflit18 (pondéré avec terre-mer),31446.158984028858
Hollande,estimation par tonnage x prix par tonneau F12/1787,2499384.310992917
Hollande,estimation par tonnage x prix par tonneau F12/1787 (sans lest),2644644.667063503
Hollande,vraie valeur dans toflit18 (pondéré avec terre-mer),161531.30815289996
Portugal,estimation par tonnage x prix par tonneau F12/1787,207056.6431070179
Portugal,estimation par tonnage x prix par tonneau F12/1787 (sans lest),227881.07173725148
Portugal,vraie valeur dans toflit18 (pondéré avec terre-mer),41340.53201809998
États-Unis d'Amérique,estimation par tonnage x prix par tonneau F12/1787,197040.27659287862
États-Unis d'Amérique,estimation par tonnage x prix par tonneau F12/1787 (sans lest),268199.73108421953
États-Unis d'Amérique,vraie valeur dans toflit18 (pondéré avec terre-mer),53529.16472571
Flandre et autres états de l'Empereur,estimation par tonnage x prix par tonneau F12/1787,864357.0496444311
Flandre et autres états de l'Empereur,estimation par tonnage x prix par tonneau F12/1787 (sans lest),902365.6214426458
Flandre et autres états de l'Empereur,vraie valeur dans toflit18 (pondéré avec terre-mer),266779.9137253594
Italie,estimation par tonnage x prix par tonneau F12/1787,0
Italie,estimation par tonnage x prix par tonneau F12/1787 (sans lest),0
Italie,vraie valeur dans toflit18 (non pondéré),0
Levant et Barbarie,estimation par tonnage x prix par tonneau F12/1787,0
Levant et Barbarie,estimation par tonnage x prix par tonneau F12/1787 (sans lest),0
Levant et Barbarie,vraie valeur dans toflit18 (non pondéré),0
total,vraie valeur dans toflit18 (non pondéré),11671837.937960692
total,vraie valeur dans toflit18 (pondéré avec terre-mer),11520908.128565513
total,estimation par tonnage x prix par tonneau F12/1787,12404450.933991399
total,estimation par tonnage x prix par tonneau F12/1787 (sans lest),17175583.72490367
